linkage,metric,ARI,NMI,V-measure,FMI,Homogeneidad,Completitud,Pureza,Accuracy,Silhouette,Davies-Bouldin,Calinski-Harabasz,Correlacion_Cofenetica,n_clusters_encontrados,representacion,tiempo_seg,score_compuesto
ward,euclidean,0.012341031658953353,0.21666709894518651,0.2166670989451865,0.19247995628572245,0.1479126248495959,0.40485785757075776,0.17133333333333334,0.15933333333333333,0.001592619496183734,3.3194640343915305,10.592346776067387,0.37696112879782123,20,"SVD (LSA, 200D, estandarizado)",0.9459412097930908,0.1595387964587622
complete,euclidean,8.595822562910891e-05,0.03948672902797249,0.039486729027972484,0.21071291582113205,0.022028012212835926,0.1903606734883176,0.06766666666666667,0.06633333333333333,0.06575052599207912,2.3113099497779936,5.962767390862777,0.5509218453934255,20,"SVD (LSA, 200D, estandarizado)",0.6935338973999023,0.07244308302567654
complete,cosine,0.02645682794735622,0.09135754915469271,0.09135754915469273,0.07721265980452305,0.09061866277228477,0.09210858405611211,0.154,0.14533333333333334,0.007082040269734419,8.951291307173706,4.388086273577368,0.17682113412043224,20,"SVD (LSA, 200D, estandarizado)",0.6163132190704346,0.07159614651531618
complete,cityblock,0.0037859093072157273,0.06641469008795503,0.06641469008795503,0.16003858825082304,0.0456967210132264,0.12150060866138271,0.096,0.09333333333333334,0.029677891519086046,4.848450027665036,5.654748125957388,0.4575269235584557,20,"SVD (LSA, 200D, estandarizado)",2.1513140201568604,0.0741634694334872
average,euclidean,2.0311191898772168e-05,0.02327298878328248,0.023272988783282482,0.21967177998895923,0.012088659251045377,0.3111024942597838,0.060333333333333336,0.058666666666666666,0.15842587033321573,0.9552802208701017,4.912679587021213,0.7722928325702332,20,"SVD (LSA, 200D, estandarizado)",0.61863112449646,0.06655951718685574
average,cosine,0.10385471895744666,0.2621504093463111,0.26215040934631106,0.16533518676539255,0.250192378135562,0.275308893071847,0.295,0.2786666666666667,0.020689783839460078,6.730359292844964,8.3901150321191,0.4455039495259527,20,"SVD (LSA, 200D, estandarizado)",0.565220832824707,0.19837268110386536
average,cityblock,4.8372635700216985e-06,0.020518372346214335,0.02051837234621433,0.21986186725050283,0.010634884114637906,0.2904068508253017,0.059,0.05733333333333333,0.11920663520247672,0.9747308384106541,4.264477630558152,0.7497492807880916,20,"SVD (LSA, 200D, estandarizado)",2.129031181335449,0.06522586230162539
single,euclidean,2.059928419032835e-05,0.019905878595555062,0.01990587859555506,0.2204152512976801,0.010258135499556903,0.3345343072430303,0.059666666666666666,0.058,0.13317267513004294,0.7309620207993265,4.0670928544060425,0.7433947688989585,20,"SVD (LSA, 200D, estandarizado)",0.528437614440918,0.06506190194324514
single,cosine,1.761110318184249e-05,0.016326282804556797,0.016326282804556797,0.22107734730943474,0.008355187983294819,0.35514603066232747,0.058333333333333334,0.056666666666666664,-0.1359757894523989,1.1505198576197355,1.506620528233973,0.14336370218771316,20,"SVD (LSA, 200D, estandarizado)",0.4654538631439209,0.06343688100543254
single,cityblock,3.5402199540823275e-06,0.013437678035995935,0.013437678035995933,0.2213443558472862,0.0068581077429399895,0.3308605138165931,0.056666666666666664,0.054,0.09500776576864674,0.7288368377844541,2.232967225027654,0.7308719865036104,20,"SVD (LSA, 200D, estandarizado)",2.0793662071228027,0.06205581303480804
ward,euclidean,0.043093357314945326,0.16044597763816834,0.16044597763816834,0.10724935504977427,0.15136878642222404,0.1706812892652496,0.14333333333333334,0.13766666666666666,0.37270603838742766,0.7164182422346043,8601.703249792949,0.8313921564719449,20,LDA (50 topicos),0.568927526473999,0.11780866691026406
